density_scenario,information_stock,information_scale,information_multiplier,worlds,mean_prior_cutoff_gap,budget_multiple,budget,cutoff_mean,cutoff_se,combined_mean,combined_se,combined_improvement_vs_cutoff_mean,combined_improvement_vs_cutoff_se,combined_win_rate_vs_cutoff,combined_pct_improvement_vs_cutoff,best_policy_by_mean
separated,heterogeneous,baseline_info,1.0,100,0.3961389708081991,30,1800,0.020943343154657887,0.004860825007621767,0.04256692982937246,0.008562683717034341,-0.02162358667471458,0.009199701411516837,0.23,-103.24801783093261,cutoff_only
separated,heterogeneous,high_info,1.5,100,0.39675003727180963,1,60,0.1612620064451539,0.026350666814518763,0.11263341485697911,0.01814773888517294,0.04862859158817482,0.023708032225184576,0.36,30.155020801327854,cutoff_x_uncertainty
separated,heterogeneous,high_info,1.5,100,0.39675003727180963,3,180,0.08580688520496293,0.016484866981263016,0.07380249056555538,0.013927036922120353,0.012004394639407572,0.018572341323283725,0.28,13.990013284753584,cutoff_x_uncertainty
separated,heterogeneous,high_info,1.5,100,0.39675003727180963,10,600,0.03452622561407425,0.008205326776692567,0.05525220284988138,0.010739763215051169,-0.020725977235807116,0.012002988531852147,0.24,-60.02966402258112,cutoff_only
separated,heterogeneous,high_info,1.5,100,0.39675003727180963,30,1800,0.01248074406872289,0.0032218143943073237,0.01737271775910478,0.004847470717967144,-0.004891973690381888,0.005837660488580888,0.21,-39.19617022386764,cutoff_only
moderate,balanced,low_info,0.65,100,0.15916915752523697,1,60,0.4697022440471995,0.047929063199877886,0.48489385695778453,0.04839778065207228,-0.015191612910585382,0.04017612069716892,0.36,-3.2343070749857445,cutoff_only
moderate,balanced,low_info,0.65,100,0.15916915752523697,3,180,0.3358390162321785,0.03574943671305397,0.31434639938083103,0.03633826529645853,0.021492616851347502,0.0377389640574456,0.45,6.399678361518552,cutoff_x_uncertainty
moderate,balanced,low_info,0.65,100,0.15916915752523697,10,600,0.14348468102665257,0.01984838448211796,0.21298760341046707,0.028575299944646627,-0.06950292238381456,0.028889277263246867,0.32,-48.43926326246929,cutoff_only
moderate,balanced,low_info,0.65,100,0.15916915752523697,30,1800,0.03236866290836448,0.006681931842161605,0.10039875377313506,0.01602730344264633,-0.06803009086477059,0.016384002050347856,0.2,-210.17269405709908,cutoff_only
moderate,balanced,baseline_info,1.0,100,0.15908640355765793,1,60,0.2920662968094361,0.031243524932472667,0.31246511512097075,0.03353616902140193,-0.020398818311534502,0.035370831480243566,0.37,-6.984310937062375,cutoff_only
moderate,balanced,baseline_info,1.0,100,0.15908640355765793,3,180,0.17422465418819386,0.021501536813393125,0.19406428612034987,0.02307286236311696,-0.01983963193215603,0.0264215560717622,0.35,-11.387384882236972,cutoff_only
moderate,balanced,baseline_info,1.0,100,0.15908640355765793,10,600,0.08707733646923532,0.016081330410773653,0.10262180629984266,0.01567722847754325,-0.015544469830607357,0.019604086616340548,0.39,-17.851338202218972,cutoff_only
moderate,balanced,baseline_info,1.0,100,0.15908640355765793,30,1800,0.03961568278359719,0.009110705537797163,0.06242268999538138,0.01038702982873995,-0.022807007211784188,0.013137280921548736,0.28,-57.570652855760926,cutoff_only
moderate,balanced,high_info,1.5,100,0.15823755171884535,1,60,0.1887207546848129,0.020548580773661437,0.18666666592054015,0.023485996964860485,0.002054088764272668,0.025446349675402387,0.35,1.0884275911800223,cutoff_x_uncertainty
moderate,balanced,high_info,1.5,100,0.15823755171884535,3,180,0.09699593818128437,0.01428776107992941,0.13477664745104304,0.017888225139015036,-0.03778070926975872,0.017620253315101326,0.28,-38.950815856996996,cutoff_only
moderate,balanced,high_info,1.5,100,0.15823755171884535,10,600,0.056400387842181446,0.010311691125480677,0.09469032532471426,0.013663350863379786,-0.0382899374825328,0.01575725755245836,0.25,-67.88949322418672,cutoff_only
